season,name,position,round,total_points,points_last3,points_last5,minutes_last3,minutes_last5,bps_last5,ict_last5,starts_last3,xg_last5,xa_last5,xgi_last5,transfers_last3,season_points_avg,season_minutes_avg,was_home,value,round,pos_DEF,pos_FWD,pos_GK,pos_MID
2022-23,Aaron Hickey,DEF,10,3,0.3333333333333333,0.6,69.66666666666667,75.4,9.2,2.2800000000000002,0.0,0.0,0.0,0.0,21.0,1.25,74.75,0,50,10,1,0,0,0
2022-23,Aaron Hickey,DEF,22,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-280.3333333333333,0.65,34.0,1,49,22,1,0,0,0
2022-23,Aaron Hickey,DEF,24,2,2.0,1.2,20.0,12.0,3.8,0.2200000000000002,0.3333333333333333,0.006,0.002,0.008,241.66666666666666,0.8636363636363636,33.63636363636363,1,49,24,1,0,0,0
2022-23,Aaron Hickey,DEF,26,5,2.6666666666666665,1.6,45.0,27.0,6.4,0.7800000000000001,0.6666666666666666,0.012,0.004,0.016,410.6666666666667,0.9130434782608695,35.43478260869565,1,49,26,1,0,0,0
2022-23,Aaron Hickey,DEF,27,2,2.3333333333333335,2.6,55.0,45.0,10.0,1.08,0.6666666666666666,0.016,0.006,0.02,636.3333333333334,1.0833333333333333,37.708333333333336,0,49,27,1,0,0,0
2022-23,Aaron Hickey,DEF,27,5,3.0,3.0,79.33333333333333,59.6,13.2,1.8,1.0,0.016,0.044,0.05800000000000001,2542.0,1.12,39.12,0,49,27,1,0,0,0
2022-23,Aaron Hickey,DEF,28,4,4.0,2.8,84.33333333333333,65.6,12.4,1.7600000000000002,1.0,0.01,0.041999999999999996,0.05,4546.666666666667,1.2692307692307692,41.07692307692308,1,49,28,1,0,0,0
2022-23,Aaron Hickey,DEF,29,0,3.6666666666666665,3.6,84.33333333333333,83.6,17.0,2.4400000000000004,1.0,0.01,0.05,0.057999999999999996,5274.333333333333,1.3703703703703705,42.888888888888886,0,49,29,1,0,0,0
2022-23,Aaron Hickey,DEF,29,1,3.0,3.2,90.0,86.6,14.4,1.8800000000000001,1.0,0.004,0.048,0.05,3517.3333333333335,1.3214285714285714,44.57142857142857,0,49,29,1,0,0,0
2022-23,Aaron Hickey,DEF,30,1,1.6666666666666667,2.4,65.0,71.6,11.2,1.6,0.6666666666666666,0.004,0.048,0.046,1760.3333333333333,1.3103448275862069,43.55172413793103,1,49,30,1,0,0,0
